,Builder,Furnishing,Bathroom,TenantPrefered,Availability,Area_sqft,Floor,PropertyFacing,Rent,NearBy,Link,Location,House Size
0,Godrej Woodsman Estate,Semi-Furnished,3,Bachelors/Family,Immediately,1632,6 out of 16,Not Available,56000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
1,Prestige Misty Waters,Semi-Furnished,2,Bachelors/Family,Immediately,820,12 out of 23,East Facing Property,41000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",2 BHK
2,Sobha HRC Pristine,Semi-Furnished,3,Bachelors/Family,Immediately,1400,17 out of 20,East Facing Property,67000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Jakkur, Bangalore",3 BHK
3,Embassy Lake Terraces,Semi-Furnished,5,Bachelors/Family,Immediately,4637,14 out of 21,Not Available,229999.99999999997,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",4 BHK
4,Prestige Falcon City,Semi-Furnished,5,Bachelors,Immediately,1800,15 out of 32,Not Available,75000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Kanakapura Road,",3 BHK
5,Brigade Caladium,Semi-Furnished,4,Family,Immediately,4310,13 out of 18,East Facing Property,190000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",4 BHK
6,Brigade Caladium,Furnished,4,Bachelors,Immediately,3400,9 out of 14,East Facing Property,180000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",4 BHK
7,Not Available,Semi-Furnished,2,Family,Immediately,1150,1 out of 3,East Facing Property,29998.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Btm Layout,",2 BHK
8,Sobha Iris,Semi-Furnished,3,Bachelors/Family,Immediately,1334,3 out of 18,Not Available,67000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Sarjapur Road,",3 BHK
9,Mahaveer Amaze,Semi-Furnished,3,Bachelors,Immediately,1850,5 out of 5,Not Available,35000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Kadugodi, Bangalore",3 BHK
10,Sobha Indraprastha,Furnished,3,Bachelors/Family,Immediately,1800,16 out of 37,"Near to World Trade Center, Lulu Mall and Kempegowda Railway Station",130000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Rajajinagar, Bangalore",3 BHK
11,Not Available,Furnished,3,Family,Immediately,1200,4 out of 5,Not Available,75000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Richards Town,",3 BHK
12,Renaissance Temple Bells,Semi-Furnished,2,Bachelors/Family,Immediately,1000,5 out of 9,Not Available,40000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,1st Block,2 BHK
13,Prestige Finsbury Park,Semi-Furnished,2,Bachelors/Family,Immediately,639,8 out of 20,East Facing Property,25000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,Bagalur Main,2 BHK
14,Karle Zenith,Semi-Furnished,4,Bachelors/Family,Immediately,2100,14 out of 34,East Facing Property,78000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
15,Prestige Falcon City,Semi-Furnished,3,Bachelors/Family,Immediately,1600,29 out of 32,Not Available,53000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Kanakapura Road,",3 BHK
16, L&T Raintree Boulevard,Unfurnished,2,Bachelors/Family,Immediately,1300,11 out of 14,Not Available,45000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
17,syeds sarinity,Furnished,3,Bachelors,Immediately,2200,2 out of 6,East Facing Property,130000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Richmond Town,",3 BHK
18,Brigade Caladium,Semi-Furnished,3,Bachelors/Family,Immediately,3200,14 out of 20,Not Available,140000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
19,Ahana,Furnished,3,Bachelors/Family,Immediately,4500,4 out of 5,Not Available,450000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,Defence Colony,3 BHK
20,Not Available,Semi-Furnished,4,Bachelors,Immediately,1445,4 out of 30,East Facing Property,48000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Anchepalya, Bangalore",4 BHK
21,Janapriya Greenwood,Semi-Furnished,3,Bachelors/Family,Immediately,983,2 out of 3,Not Available,17000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Somashetti Halli,",3 BHK
22,Elita Promenade,Semi-Furnished,3,Family,Immediately,1400,8 out of 19,Not Available,60000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,Phase 7,3 BHK
23,Gopalan Atlantis,Semi-Furnished,3,Bachelors/Family,Immediately,1250,11 out of 11,Not Available,50000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Ecc Road,",3 BHK
24,Prestige Lakeside Habitat,Furnished,2,Family,Immediately,1175,15 out of 23,Not Available,45000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Whitefield, Bangalore",2 BHK
25,Prestige Park View,Semi-Furnished,3,Bachelors/Family,Immediately,1471,4 out of 19,Not Available,80000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Whitefield, Bangalore",3 BHK
26,Not Available,Semi-Furnished,4,Bachelors/Family,Immediately,5600,Upper Basement out of 19,Not Available,400000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Whitefield, Bangalore",4 BHK
27,Shri Diya Viola,Semi-Furnished,2,Family,Immediately,950,1 out of 4,Not Available,24000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Kada Agrahara,",2 BHK
28,Not Available,Semi-Furnished,5,Bachelors/Family,Immediately,3000,1 out of 5,Not Available,280000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,Hanumanthappa Layout,4 BHK
29,MV Periwinkle,Semi-Furnished,3,Bachelors/Family,Immediately,1600,2 out of 4,Not Available,40000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Rachenahalli, Thanisandra,",3 BHK
30,Godrej Woodsman Estate,Semi-Furnished,3,Bachelors/Family,Immediately,1632,6 out of 16,Not Available,56000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
31,Prestige Misty Waters,Semi-Furnished,2,Bachelors/Family,Immediately,820,12 out of 23,East Facing Property,41000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",2 BHK
32,Sobha HRC Pristine,Semi-Furnished,3,Bachelors/Family,Immediately,1400,17 out of 20,East Facing Property,67000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Jakkur, Bangalore",3 BHK
33,Embassy Lake Terraces,Semi-Furnished,5,Bachelors/Family,Immediately,4637,14 out of 21,Not Available,229999.99999999997,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",4 BHK
34,Prestige Falcon City,Semi-Furnished,5,Bachelors,Immediately,1800,15 out of 32,Not Available,75000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Kanakapura Road,",3 BHK
35,Brigade Caladium,Semi-Furnished,4,Family,Immediately,4310,13 out of 18,East Facing Property,190000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",4 BHK
36,Brigade Caladium,Furnished,4,Bachelors,Immediately,3400,9 out of 14,East Facing Property,180000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",4 BHK
37,Not Available,Semi-Furnished,2,Family,Immediately,1150,1 out of 3,East Facing Property,29998.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Btm Layout,",2 BHK
38,Sobha Iris,Semi-Furnished,3,Bachelors/Family,Immediately,1334,3 out of 18,Not Available,67000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Sarjapur Road,",3 BHK
39,Mahaveer Amaze,Semi-Furnished,3,Bachelors,Immediately,1850,5 out of 5,Not Available,35000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Kadugodi, Bangalore",3 BHK
40,Sobha Indraprastha,Furnished,3,Bachelors/Family,Immediately,1800,16 out of 37,"Near to World Trade Center, Lulu Mall and Kempegowda Railway Station",130000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Rajajinagar, Bangalore",3 BHK
41,Not Available,Furnished,3,Family,Immediately,1200,4 out of 5,Not Available,75000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Richards Town,",3 BHK
42,Renaissance Temple Bells,Semi-Furnished,2,Bachelors/Family,Immediately,1000,5 out of 9,Not Available,40000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,1st Block,2 BHK
43,Prestige Finsbury Park,Semi-Furnished,2,Bachelors/Family,Immediately,639,8 out of 20,East Facing Property,25000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,Bagalur Main,2 BHK
44,Karle Zenith,Semi-Furnished,4,Bachelors/Family,Immediately,2100,14 out of 34,East Facing Property,78000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
45,Prestige Falcon City,Semi-Furnished,3,Bachelors/Family,Immediately,1600,29 out of 32,Not Available,53000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Kanakapura Road,",3 BHK
46, L&T Raintree Boulevard,Unfurnished,2,Bachelors/Family,Immediately,1300,11 out of 14,Not Available,45000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
47,syeds sarinity,Furnished,3,Bachelors,Immediately,2200,2 out of 6,East Facing Property,130000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Richmond Town,",3 BHK
48,Brigade Caladium,Semi-Furnished,3,Bachelors/Family,Immediately,3200,14 out of 20,Not Available,140000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Hebbal, Bangalore",3 BHK
49,Ahana,Furnished,3,Bachelors/Family,Immediately,4500,4 out of 5,Not Available,450000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,Defence Colony,3 BHK
50,Not Available,Semi-Furnished,4,Bachelors,Immediately,1445,4 out of 30,East Facing Property,48000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Anchepalya, Bangalore",4 BHK
51,Janapriya Greenwood,Semi-Furnished,3,Bachelors/Family,Immediately,983,2 out of 3,Not Available,17000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Somashetti Halli,",3 BHK
52,Elita Promenade,Semi-Furnished,3,Family,Immediately,1400,8 out of 19,Not Available,60000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,Phase 7,3 BHK
53,Gopalan Atlantis,Semi-Furnished,3,Bachelors/Family,Immediately,1250,11 out of 11,Not Available,50000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Ecc Road,",3 BHK
54,Prestige Lakeside Habitat,Furnished,2,Family,Immediately,1175,15 out of 23,Not Available,45000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Whitefield, Bangalore",2 BHK
55,Prestige Park View,Semi-Furnished,3,Bachelors/Family,Immediately,1471,4 out of 19,Not Available,80000.0,"1.9 Km from Kirloskar Tech Park, 0.1 Km from Upcoming Blue Line: Kr Puram ? Hebbal ? Kial Terminals, 0.2 Km from Rajiv Gandhi Institute of Technology Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1632-Sq-ft-Multistorey-Apartment-FOR-Rent-Hebbal-in-Bangalore&id=4d423730373936323735,"Whitefield, Bangalore",3 BHK
