	Builder	Carpet Area (in sqft)	Status	Floor	Transaction	Furnishing	Facing	NearBy	Price(in ₹)	Price per sqft(in ₹)	Link	Location	House Size
51	Not Available	600	Ready to Move	11 out of 12	Resale	Semi-Furnished	North	Not Available	3770000	5937	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	1 Electronics City	1 BHK
52	Not Available	1100	Ready to Move	Ground out of 3	Resale	Semi-Furnished	North	Near Apple fitness 80ft Road	27500000	22000	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Colony Stage 2nd	2 BHK
53	BSR Splendour Park	890	Ready to Move	1 out of 4	Resale	Semi-Furnished	North - East	Not Available	4800000	4554	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	BSR Splendour Park	2 BHK
54	Not Available	1400	Ready to Move	1 out of 4	New Property	Unfurnished	Garden/Park	Newly Constructed Property	8500000	5030	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133		3 BHK
55	Not Available	1350	Ready to Move	1 out of 4	Resale	Semi-Furnished	North	Not Available	10500000	7000	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133		3 BHK
56	Not Available	4500	Ready to Move	Ground out of 5	Resale	Furnished	> 10	Not Available	17000000	3269	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Bannerghatta Main Road	> 10
57	Shaswathi Vilas	1600	Ready to Move	1 out of 4	Resale	Furnished	East	East Facing Property	10800000	5684	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Shaswathi Vilas J	3 BHK
58	Chowriappa Constellation	1414	Ready to Move	11 out of 14	Resale	Semi-Furnished	East	East Facing Property	13700000	9689	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Chowriappa Constellation Kothnur	2 BHK
59	Vijayanagar Court Apartments	800	Ready to Move	3 out of 3	Resale	Furnished	West	Not Available	7500000	8333	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Vijayanagar Court Apartments	2 BHK
60	Magan Silver Hill	635	Ready to Move	1 out of 3	Resale	Furnished	North - East	Near Abbey naidu studio	2500000	3937	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Magan Silver Hill	1 BHK
61	Not Available	1153	Ready to Move	2 out of 4	Resale	Unfurnished	West	Not Available	11000000	8148	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133		2 BHK
62	Total Environment Windmills Of Your Mind	5800	Ready to Move	7 out of 13	Resale	Semi-Furnished	East	Near Whitefield Metro Station	100000000	16949	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Total Environment Windmills	5 BHK
63	Not Available	125	Ready to Move	4 out of 4	Resale	Furnished	4	Not Available	95000000	39583	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133		4 BHK
64	Samhita Sarovar 	1190	Ready to Move	1 out of 4	Resale	Unfurnished	West	Not Available	8000000	6202	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Samhita Sarovar Horamavu	2 BHK
65	Esteem Kings Court	1380	Ready to Move	3 out of 4	Resale	Furnished	East	East Facing Property	24800000	16052	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Esteem Kings Court	3 BHK
66	Not Available	2350	Ready to Move	2 out of 4	Resale	Unfurnished	North	Not Available	25000000	10638	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Colony Basaveshwar Nagar	3 BHK
67	Vaishnavi Nakshatra	1699	Ready to Move	7 out of 13	Resale	Unfurnished	North - East	Not Available	23000000	13537	https://www.magicbricks.com/propertyDetails/2-BHK-1414-Sq-ft-Multistorey-Apartment-FOR-Sale-Kothnur-in-Bangalore&id=4d423732323338363133	Vaishnavi Nakshatra Yeswanthpur	3 BHK
